2023-05-01T19:18:37.306-0400 DEBUG PersistenceUnitInfo [
	name: default
	persistence provider classname: null
	classloader: jdk.internal.loader.ClassLoaders$AppClassLoader@251a69d7
	excludeUnlistedClasses: true
	JTA datasource: null
	Non JTA datasource: HikariDataSource (HikariPool-1)
	Transaction type: RESOURCE_LOCAL
	PU root URL: file:/Users/ailisi1/Downloads/HibernateEntityMapping_gym%202/target/test-classes/
	Shared Cache Mode: UNSPECIFIED
	Validation Mode: AUTO
	Jar files URLs []
	Managed classes names [
		com.ascending3.learnrestapi3.entity.Coach
		com.ascending3.learnrestapi3.entity.Course
		com.ascending3.learnrestapi3.entity.Member]
	Mapping files names []
	Properties []
2023-05-01T19:18:37.380-0400 DEBUG Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
2023-05-01T19:18:37.390-0400 DEBUG Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
2023-05-01T19:18:37.404-0400 DEBUG Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
2023-05-01T19:18:37.672-0400 INFO HHH000412: Hibernate ORM core version 5.6.15.Final
2023-05-01T19:18:37.677-0400 DEBUG HHH000206: hibernate.properties not found
2023-05-01T19:18:38.414-0400 DEBUG Overriding existing service binding [org.hibernate.secure.spi.JaccService]
2023-05-01T19:18:38.478-0400 DEBUG Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
2023-05-01T19:18:38.481-0400 DEBUG Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
2023-05-01T19:18:38.554-0400 INFO HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2023-05-01T19:18:38.769-0400 DEBUG Adding type registration boolean -> org.hibernate.type.BooleanType@14f060b8
2023-05-01T19:18:38.770-0400 DEBUG Adding type registration boolean -> org.hibernate.type.BooleanType@14f060b8
2023-05-01T19:18:38.770-0400 DEBUG Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@14f060b8
2023-05-01T19:18:38.775-0400 DEBUG Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@4eeab3e
2023-05-01T19:18:38.776-0400 DEBUG Adding type registration true_false -> org.hibernate.type.TrueFalseType@2bec068b
2023-05-01T19:18:38.776-0400 DEBUG Adding type registration yes_no -> org.hibernate.type.YesNoType@138f0661
2023-05-01T19:18:38.780-0400 DEBUG Adding type registration byte -> org.hibernate.type.ByteType@7e3d2ebd
2023-05-01T19:18:38.780-0400 DEBUG Adding type registration byte -> org.hibernate.type.ByteType@7e3d2ebd
2023-05-01T19:18:38.780-0400 DEBUG Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@7e3d2ebd
2023-05-01T19:18:38.788-0400 DEBUG Adding type registration character -> org.hibernate.type.CharacterType@51888019
2023-05-01T19:18:38.789-0400 DEBUG Adding type registration char -> org.hibernate.type.CharacterType@51888019
2023-05-01T19:18:38.789-0400 DEBUG Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@51888019
2023-05-01T19:18:38.795-0400 DEBUG Adding type registration short -> org.hibernate.type.ShortType@544e3679
2023-05-01T19:18:38.795-0400 DEBUG Adding type registration short -> org.hibernate.type.ShortType@544e3679
2023-05-01T19:18:38.795-0400 DEBUG Adding type registration java.lang.Short -> org.hibernate.type.ShortType@544e3679
2023-05-01T19:18:38.797-0400 DEBUG Adding type registration integer -> org.hibernate.type.IntegerType@28b8f98a
2023-05-01T19:18:38.797-0400 DEBUG Adding type registration int -> org.hibernate.type.IntegerType@28b8f98a
2023-05-01T19:18:38.797-0400 DEBUG Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@28b8f98a
2023-05-01T19:18:38.801-0400 DEBUG Adding type registration long -> org.hibernate.type.LongType@7d37ee0c
2023-05-01T19:18:38.801-0400 DEBUG Adding type registration long -> org.hibernate.type.LongType@7d37ee0c
2023-05-01T19:18:38.801-0400 DEBUG Adding type registration java.lang.Long -> org.hibernate.type.LongType@7d37ee0c
2023-05-01T19:18:38.808-0400 DEBUG Adding type registration float -> org.hibernate.type.FloatType@5d850a25
2023-05-01T19:18:38.809-0400 DEBUG Adding type registration float -> org.hibernate.type.FloatType@5d850a25
2023-05-01T19:18:38.809-0400 DEBUG Adding type registration java.lang.Float -> org.hibernate.type.FloatType@5d850a25
2023-05-01T19:18:38.813-0400 DEBUG Adding type registration double -> org.hibernate.type.DoubleType@3487442d
2023-05-01T19:18:38.815-0400 DEBUG Adding type registration double -> org.hibernate.type.DoubleType@3487442d
2023-05-01T19:18:38.816-0400 DEBUG Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@3487442d
2023-05-01T19:18:38.818-0400 DEBUG Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@1785d194
2023-05-01T19:18:38.818-0400 DEBUG Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@1785d194
2023-05-01T19:18:38.821-0400 DEBUG Adding type registration big_integer -> org.hibernate.type.BigIntegerType@32ae8f27
2023-05-01T19:18:38.822-0400 DEBUG Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@32ae8f27
2023-05-01T19:18:38.827-0400 DEBUG Adding type registration string -> org.hibernate.type.StringType@7a66c35a
2023-05-01T19:18:38.827-0400 DEBUG Adding type registration java.lang.String -> org.hibernate.type.StringType@7a66c35a
2023-05-01T19:18:38.829-0400 DEBUG Adding type registration nstring -> org.hibernate.type.StringNVarcharType@4137aab0
2023-05-01T19:18:38.830-0400 DEBUG Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@2726a511
2023-05-01T19:18:38.837-0400 DEBUG Adding type registration url -> org.hibernate.type.UrlType@5bfc79cb
2023-05-01T19:18:38.837-0400 DEBUG Adding type registration java.net.URL -> org.hibernate.type.UrlType@5bfc79cb
2023-05-01T19:18:38.840-0400 DEBUG Adding type registration Duration -> org.hibernate.type.DurationType@93bf0e0
2023-05-01T19:18:38.841-0400 DEBUG Adding type registration java.time.Duration -> org.hibernate.type.DurationType@93bf0e0
2023-05-01T19:18:38.843-0400 DEBUG Adding type registration Instant -> org.hibernate.type.InstantType@5939e24
2023-05-01T19:18:38.843-0400 DEBUG Adding type registration java.time.Instant -> org.hibernate.type.InstantType@5939e24
2023-05-01T19:18:38.848-0400 DEBUG Adding type registration LocalDateTime -> org.hibernate.type.LocalDateTimeType@46468f0
2023-05-01T19:18:38.848-0400 DEBUG Adding type registration java.time.LocalDateTime -> org.hibernate.type.LocalDateTimeType@46468f0
2023-05-01T19:18:38.857-0400 DEBUG Adding type registration LocalDate -> org.hibernate.type.LocalDateType@6486fe7b
2023-05-01T19:18:38.858-0400 DEBUG Adding type registration java.time.LocalDate -> org.hibernate.type.LocalDateType@6486fe7b
2023-05-01T19:18:38.859-0400 DEBUG Adding type registration LocalTime -> org.hibernate.type.LocalTimeType@52ba685a
2023-05-01T19:18:38.860-0400 DEBUG Adding type registration java.time.LocalTime -> org.hibernate.type.LocalTimeType@52ba685a
2023-05-01T19:18:38.864-0400 DEBUG Adding type registration OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@34edd065
2023-05-01T19:18:38.864-0400 DEBUG Adding type registration java.time.OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@34edd065
2023-05-01T19:18:38.871-0400 DEBUG Adding type registration OffsetTime -> org.hibernate.type.OffsetTimeType@36478bce
2023-05-01T19:18:38.873-0400 DEBUG Adding type registration java.time.OffsetTime -> org.hibernate.type.OffsetTimeType@36478bce
2023-05-01T19:18:38.875-0400 DEBUG Adding type registration ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@696fad31
2023-05-01T19:18:38.876-0400 DEBUG Adding type registration java.time.ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@696fad31
2023-05-01T19:18:38.880-0400 DEBUG Adding type registration date -> org.hibernate.type.DateType@6842c101
2023-05-01T19:18:38.880-0400 DEBUG Adding type registration java.sql.Date -> org.hibernate.type.DateType@6842c101
2023-05-01T19:18:38.884-0400 DEBUG Adding type registration time -> org.hibernate.type.TimeType@32ab408e
2023-05-01T19:18:38.884-0400 DEBUG Adding type registration java.sql.Time -> org.hibernate.type.TimeType@32ab408e
